global_rank,daily_tier,daily_priority_score,canonical_intersection_name,display_intersection_name,canonical_intersection_key,representative_lat,representative_lon,connected_highway_tags,degree_merged,intersection_priority,visibility_score,sign_value,route_bucket,recommended_action,priority_reason,suggested_day,merged_count,merged_node_ids,flyer_delivered,flyer_date,knock_due_date,knocked,knock_date,response,sign_followup,sign_permission,followup_notes
30,A,130,18th St E & 3rd Ave E & 4th Ave E,3rd Avenue East & 18th Street East & 4th Avenue East,18th st e + 3rd ave e + 4th ave e,44.5783659,-80.9347409,residential | secondary | unclassified,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 2,1,-80934741:44578366,,,,,,,,,
31,A,130,1st Ave E & 9th St E & 9th St W,1st Avenue East & 9th Street East & 9th Street W,1st ave e + 9th st e + 9th st w,44.5657066,-80.9438049,tertiary | unclassified,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80943805:44565707,,,,,,,,,
32,A,130,1st St Sw & 2nd Ave E & 2nd Ave Se,2nd Avenue SE & 1st Street SW & 2nd Avenue East,1st st sw + 2nd ave e + 2nd ave se,44.5462749,-80.9409075,secondary | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 3,1,-80940907:44546275,,,,,,,,,
33,A,130,1st St Sw & 4th Ave Sw & 4th Ave W,4th Avenue SW & 4th Avenue West & 1st Street SW,1st st sw + 4th ave sw + 4th ave w,44.5458807,-80.9446594,residential | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80944659:44545881,,,,,,,,,
34,A,130,2nd Ave E & 5th St A E & 6th St E,6th Street East & 2nd Avenue East & 5th Street A East,2nd ave e + 5th st a e + 6th st e,44.5601464,-80.941538,residential | secondary | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 3,1,-80941538:44560146,,,,,,,,,
35,A,130,2nd Ave W & 6th St W & Moores Hill,6th Street West & Moores Hill & 2nd Avenue West,2nd ave w + 6th st w + moores hill,44.5582165,-80.9454095,residential | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80945409:44558217,,,,,,,,,
36,A,130,32nd St E & E Bay Shore Rd & E Bayshore Rd,East Bayshore Road & 32nd Street East & East Bay Shore Road,32nd st e + e bay shore rd + e bayshore rd,44.6017183,-80.9201229,secondary | unclassified,3,A,100,high,highest visibility corner,visit first; highest sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80920123:44601718,,,,,,,,,
37,A,130,3rd Ave E & 9th St E,9th Street East & 3rd Avenue East,3rd ave e + 9th st e,44.5660518,-80.9409664,secondary | tertiary | unclassified,2,A,100,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 3,1,-80940966:44566052,,,,,,,,,
38,A,130,3rd St W & 4th Ave W,4th Avenue West & 3rd Street West & 4th Avenue W,3rd st w + 4th ave w,44.5534956,-80.9463955,residential | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80946395:44553496,,,,,,,,,
39,A,130,4th Ave W & Beattie St,4th Avenue West & Beattie Street & 4th Avenue W,4th ave w + beattie st,44.5536419,-80.9464288,residential | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80946429:44553642,,,,,,,,,
40,A,130,6th St E & 9th Ave E,6th Street East & 9th Avenue East,6th st e + 9th ave e,44.5618779,-80.9265788,primary | secondary | unclassified,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 3,1,-80926579:44561878,,,,,,,,,
41,A,130,7th St E & 9th Ave E,7th Street East & 9th Avenue East,7th st e + 9th ave e,44.5637568,-80.9270151,primary | residential | unclassified,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80927015:44563757,,,,,,,,,
42,A,130,8th St A E & 9th Ave E,9th Avenue East & 8th Street A East,8th st a e + 9th ave e,44.5663963,-80.9276413,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80927641:44566396,,,,,,,,,
43,A,130,8th St E & 9th Ave E,8th Street East & 9th Avenue East,8th st e + 9th ave e,44.5656475,-80.9274605,primary | secondary | tertiary,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 3,1,-80927460:44565648,,,,,,,,,
44,A,130,9th Ave E & 9th St E,9th Street East & 9th Avenue East,9th ave e + 9th st e,44.5675405,-80.9279175,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80927918:44567541,,,,,,,,,
45,A,130,9th Ave E & Hwy 6/10 & Superior St,Superior Street & 9th Avenue East & Highway 6/10,9th ave e + hwy 6/10 + superior st,44.558404,-80.9257748,primary | residential,3,A,100,high,highest visibility corner,visit first; highest sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 3,1,-80925775:44558404,,,,,,,,,
46,A,130,16th Ave E & 8th St E,8th Street East & 16th Avenue East,16th ave e + 8th st e,44.5671551,-80.9145964,secondary | tertiary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 4,1,-80914596:44567155,,,,,,,,,
47,A,130,19th St W & Eddy Sargeant Parkway,Eddy Sargeant Parkway & 19th Street West,19th st w + eddy sargeant parkway,44.5798895,-80.9476309,secondary | tertiary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 4,1,-80947631:44579890,,,,,,,,,
48,A,130,3rd Ave E & 8th St E,8th Street East & 3rd Avenue East,3rd ave e + 8th st e,44.564163,-80.9405331,secondary | tertiary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 4,1,-80940533:44564163,,,,,,,,,
49,A,130,3rd Ave E & E Bay Shore Rd,East Bay Shore Road & 3rd Avenue East,3rd ave e + e bay shore rd,44.592606700000005,-80.92401295,secondary | tertiary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures ; multiple street-front exposures,Day 4,2,-80923885:44592961 | -80924141:44592252,,,,,,,,,
50,A,128,10th Ave E & 8th St E,10th Avenue East & 8th Street East,10th ave e + 8th st e,44.5660351,-80.9241573,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80924157:44566035,,,,,,,,,
51,A,128,11th Ave E & 8th St E,8th Street East & 11th Avenue East,11th ave e + 8th st e,44.5661762,-80.9228918,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80922892:44566176,,,,,,,,,
52,A,128,11th St W & 2nd Ave W,11th Street West & 2nd Avenue West,11th st w + 2nd ave w,44.5691994,-80.9465261,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80946526:44569199,,,,,,,,,
53,A,128,12th St E & 3rd Ave E,12th Street East & 3rd Avenue East,12th st e + 3rd ave e,44.5714636,-80.9391965,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80939196:44571464,,,,,,,,,
54,A,128,12th St W & 2nd Ave W,12th Street West & 2nd Avenue West,12th st w + 2nd ave w,44.5715629,-80.9470603,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80947060:44571563,,,,,,,,,
55,A,128,13th St E & 3rd Ave E,13th Street East & 3rd Avenue East,13th st e + 3rd ave e,44.5731642,-80.9380969,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80938097:44573164,,,,,,,,,
56,A,128,13th St W & 2nd Ave W,13th Street West & 2nd Avenue West,13th st w + 2nd ave w,44.5725298,-80.94726940000001,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,2,-80947250:44572445 | -80947289:44572614,,,,,,,,,
57,A,128,14th St E & 3rd Ave E,14th Street East & 3rd Avenue East,14th st e + 3rd ave e,44.574897,-80.9369175,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80936918:44574897,,,,,,,,,
58,A,128,15th St E & 28th Ave E,28th Avenue East & 15th Street East,15th st e + 28th ave e,44.5749112,-80.8947282,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80894728:44574911,,,,,,,,,
59,A,128,15th St E & 3rd Ave E,3rd Avenue East & 15th Street East,15th st e + 3rd ave e,44.5756127,-80.9364281,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80936428:44575613,,,,,,,,,
60,A,128,16th St E & 3rd Ave E,16th Street East & 3rd Avenue East,16th st e + 3rd ave e,44.5760962,-80.9361079,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 4,1,-80936108:44576096,,,,,,,,,
61,A,128,17th St E & 3rd Ave E,3rd Avenue East & 17th Street East,17th st e + 3rd ave e,44.5767357,-80.9356887,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80935689:44576736,,,,,,,,,
62,A,128,1st St E & 2nd Ave E,1st Street East & 2nd Avenue East,1st st e + 2nd ave e,44.5514773,-80.9395937,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80939594:44551477,,,,,,,,,
63,A,128,1st St W & 2nd Ave E,1st Street West & 2nd Avenue East,1st st w + 2nd ave e,44.5515929,-80.9396227,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80939623:44551593,,,,,,,,,
64,A,128,20th St W & Eddy Sargeant Parkway,20th Street West & Eddy Sargeant Parkway,20th st w + eddy sargeant parkway,44.5811043,-80.9479728,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80947973:44581104,,,,,,,,,
65,A,128,23rd St W & 3rd Ave W,3rd Avenue West & 23rd Street West,23rd st w + 3rd ave w,44.5849177,-80.9469588,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80946959:44584918,,,,,,,,,
66,A,128,24th St W & 3rd Ave W,3rd Avenue West & 24th Street West,24th st w + 3rd ave w,44.5868503,-80.946375,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80946375:44586850,,,,,,,,,
67,A,128,26th St W & 3rd Ave W,26th Street West & 3rd Avenue West,26th st w + 3rd ave w,44.5892892,-80.9455464,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80945546:44589289,,,,,,,,,
68,A,128,27th St W & 3rd Ave W,3rd Avenue West & 27th Street West,27th st w + 3rd ave w,44.5905382,-80.9451555,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80945155:44590538,,,,,,,,,
69,A,128,28th Ave E & 8th St E,28th Avenue East & 8th Street East,28th ave e + 8th st e,44.5695638,-80.8935286,secondary | unclassified,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80893529:44569564,,,,,,,,,
70,A,128,28th St E & E Bay Shore Rd,28th Street East & East Bay Shore Road,28th st e + e bay shore rd,44.5948788,-80.9237231,secondary | unclassified,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80923723:44594879,,,,,,,,,
71,B,128,28th St W & 3rd Ave W,3rd Avenue West & 28th Street West,28th st w + 3rd ave w,44.591731,-80.9448553,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80944855:44591731,,,,,,,,,
72,B,128,29th St W & 3rd Ave W,3rd Avenue West & 29th Street West,29th st w + 3rd ave w,44.5930002,-80.9444635,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80944463:44593000,,,,,,,,,
73,B,128,2nd Ave E & 2nd Ave W,2nd Avenue East & 2nd Avenue West,2nd ave e + 2nd ave w,44.5561218,-80.9406423,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80940642:44556122,,,,,,,,,
74,B,128,2nd Ave E & 2nd St E,2nd Avenue East & 2nd Street East,2nd ave e + 2nd st e,44.5522245,-80.9397668,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80939767:44552225,,,,,,,,,
75,B,128,2nd Ave E & 2nd St W,2nd Avenue East & 2nd Street West,2nd ave e + 2nd st w,44.5521082,-80.9397381,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 5,1,-80939738:44552108,,,,,,,,,
76,B,128,2nd Ave E & 3rd St W,3rd Street West & 2nd Avenue East,2nd ave e + 3rd st w,44.5550534,-80.9404115,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80940411:44555053,,,,,,,,,
77,B,128,2nd Ave E & 4th St A E,2nd Avenue East & 4th Street A East,2nd ave e + 4th st a e,44.5574631,-80.9409347,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80940935:44557463,,,,,,,,,
78,B,128,2nd Ave E & 4th St B E,2nd Avenue East & 4th Street B East,2nd ave e + 4th st b e,44.5580327,-80.9410686,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80941069:44558033,,,,,,,,,
