site,household,module,household_food_gj_year,perennial_food_percent,annual_food_percent,livestock_food_percent,protein_coverage_percent,annual_crop_area_ha,perennial_food_area_ha,livestock_feed_area_ha,woody_heating_area_ha,total_food_feed_heat_area_ha,recurring_labour_hours_year,food_energy_without_annual_soil_preparation_percent
dry,adult_plus_child,plants_only,5.846183,75,25,0,50.898,0.086015,0.792898,0,0.579401,1.458313,130.3,75
dry,adult_plus_child,plants_plus_chickens,5.846183,69.253,23.084,7.663,80.668,0.079423,0.732137,0.056693,0.579401,1.447655,240.32,70.019
dry,adult_plus_child,plants_plus_rabbits,5.846183,71.215,23.738,5.046,81.044,0.081674,0.752888,0.093333,0.579401,1.507296,303.73,72.982
dry,adult_plus_child,plants_plus_chickens_rabbits,5.846183,65.468,21.823,12.709,110.814,0.075083,0.692127,0.150027,0.579401,1.496638,413.74,68.001
dry,two_adults,plants_only,7.768697,75,25,0,43.38,0.114301,1.053642,0,0.579401,1.747343,514.63,75
dry,two_adults,plants_plus_chickens,7.768697,70.675,23.558,5.767,62.474,0.107709,0.992881,0.056693,0.579401,1.736684,604.95,71.252
dry,two_adults,plants_plus_rabbits,7.768697,72.152,24.051,3.797,62.715,0.10996,1.013632,0.093333,0.579401,1.796326,675.08,73.481
dry,two_adults,plants_plus_chickens_rabbits,7.768697,67.827,22.609,9.564,81.809,0.103369,0.952871,0.150027,0.579401,1.785668,765.41,69.733
dry,two_adults_plus_one_child,plants_only,10.239806,75,25,0,47.924,0.150658,1.38879,0,0.579401,2.118848,315.35,75
dry,two_adults_plus_one_child,plants_plus_chickens,10.239806,71.719,23.906,4.375,63.928,0.144066,1.328029,0.056693,0.579401,2.10819,421.55,72.156
dry,two_adults_plus_one_child,plants_plus_rabbits,10.239806,72.839,24.28,2.881,64.13,0.146318,1.34878,0.093333,0.579401,2.167832,486.27,73.848
dry,two_adults_plus_one_child,plants_plus_chickens_rabbits,10.239806,69.558,23.186,7.256,80.134,0.139726,1.288019,0.150027,0.579401,2.157173,592.47,71.004
dry,two_adults_plus_two_children,plants_only,14.050693,75,25,0,51.015,0.206727,1.905647,0,0.579401,2.691775,347.06,75
dry,two_adults_plus_two_children,plants_plus_chickens,14.050693,72.609,24.203,3.188,63.431,0.200136,1.844886,0.056693,0.579401,2.681117,456,72.928
